Chunk 	 RSQ
0	-3109309.6263331277
1	-2312487.6234498387
2	-3340383.6230294467
3	-635003.9211667941

overall_gold_y	overall_pred_y	overall_adj
0.37729424	[2321.4543]	stable
0.6751287	[2912.4246]	major
0.6563332	[1436.5016]	critical
0.45100713	[2408.2]	outstanding
-1.300433	[165.90294]	comfortable
0.12861738	[272.7945]	solid
0.6931472	[867.2213]	major
-0.51082563	[1640.8778]	typical
0.4054651	[1403.4906]	big
-0.19716807	[1924.0801]	broad
-0.3703738	[2063.6309]	positive
0.6225296	[3529.2344]	major
-0.15415068	[3541.8662]	likely
0.7672551	[1018.5872]	prominent
0.50822484	[594.1761]	remarkable
-1.5040774	[1942.6694]	ordinary
0.2719337	[2470.9595]	intense
-5.669881	[788.35297]	weak
-2.6741486	[276.67096]	adequate
0.18232156	[1514.9111]	important
0.4920796	[3615.1836]	serious
-2.8903718	[404.9275]	inadequate
-0.15415068	[2045.0415]	good
-0.3583976	[3355.72]	rich
-0.45953232	[2727.4988]	competitive
-1.9218127	[910.8055]	minor
0.6931472	[1825.8854]	grand
0.5930637	[2470.7336]	intense
0.90286773	[2251.414]	unexpected
-0.4177352	[382.05743]	sound
0.7217206	[107.145706]	critical
-0.080042705	[605.9642]	big
0.6623755	[451.05658]	deep
-1.89712	[950.25635]	slight
0.48342666	[1718.3215]	adequate
0.607625	[3719.7974]	considerable
-0.51082563	[1967.0459]	critical
-0.09531018	[2941.06]	grand
-0.017094433	[1872.2944]	stable
-0.51669073	[1848.0862]	moderate
0.47692406	[2191.3396]	big
0.12260232	[879.2007]	generous
0.4462871	[3295.6128]	acceptable
-3.8918202	[527.3113]	weak
0.573602	[1052.146]	important
-4.574711	[526.30853]	unusual
1.1325139	[1849.5729]	excessive
-0.025975486	[2967.3342]	sizable
-1.1638528	[647.31976]	modest
-1.3609766	[614.1125]	good
-0.38776553	[2119.6655]	familiar
0.6931472	[1543.1012]	vital
0.4462871	[2346.9922]	deep
0.26747936	[2014.021]	aggressive
-1.704748	[3576.5674]	tight
0.21772349	[1860.7515]	reasonable
-0.86499745	[3138.9312]	low
-0.38677296	[1928.7437]	unexpected
0.17733401	[521.33594]	usual
-4.0943446	[314.02225]	inadequate
0.65540683	[2038.4949]	serious
0.43303844	[197.16422]	adequate
0.6306268	[2633.9343]	considerable
-0.2578291	[3098.3403]	comfortable
-1.2527629	[341.1497]	low
-2.8332133	[524.3187]	relative
-0.11778303	[3145.3142]	impressive
0.6931472	[637.42883]	big
-2.0794415	[3121.0115]	slight
-4.304065	[867.4823]	inadequate
0.3448405	[3210.71]	rich
-0.91629076	[1901.2678]	narrow
0.3227734	[1551.7247]	severe
-0.7654678	[1027.0603]	positive
-0.9932518	[2675.8335]	comfortable
0.2876821	[536.85175]	sound
0.94160855	[2105.945]	serious
-1.609438	[1958.413]	liberal
-0.06453852	[1988.3708]	sound
0.67916095	[647.9625]	competitive
0.061875403	[2917.51]	competitive
-0.43825492	[2707.9456]	conventional
-0.06062462	[1674.4926]	reasonable
-2.2380466	[1509.3646]	healthy
0.549253	[2821.1672]	outstanding
0.6931472	[1623.2416]	remarkable
0.32158363	[3373.8447]	obvious
-3.4760988	[3156.4036]	inadequate
-0.5179431	[228.29955]	appropriate
-0.8823892	[3399.7327]	regular
-0.17435339	[2146.6763]	legitimate
-0.91629076	[842.8539]	rare
-0.024692612	[3573.9998]	familiar
-0.47334254	[3597.3904]	firm
-0.8266786	[3609.0344]	light
-0.22314355	[1061.0032]	clear
-1.4835577	[2684.2598]	traditional
0.32047188	[539.2827]	great
-0.91629076	[381.8447]	relative
0.929536	[2836.5232]	big
0.39768296	[2555.6504]	crucial
-1.410987	[2222.2195]	small
0.6931472	[3095.7751]	powerful
-0.84729785	[1634.3345]	little
-0.6931472	[2757.3384]	acceptable
0.65600765	[2090.8176]	bearish
-4.248495	[3012.298]	unusual
-0.3052264	[882.0991]	bullish
2.220446e-16	[3244.8457]	traditional
-0.021506205	[243.20894]	good
0.6931472	[1629.8744]	dramatic
0.5260931	[1873.8855]	serious
-0.3908663	[562.8109]	clear
-2.9267395	[2182.3188]	low
-0.33986783	[502.10526]	healthy
0.48954824	[232.23174]	large
1.4702944	[2795.396]	rare
0.66989034	[2512.47]	major
0.6931472	[113.51407]	high
-0.99852884	[2672.163]	clear
-1.2840155	[3606.077]	regular
0.6931472	[459.1488]	great
0.16251893	[2609.8313]	good
-0.6523252	[1051.9379]	solid
-5.7037826	[418.42215]	poor
-1.0323629	[343.24457]	legitimate
-0.82098055	[1483.7603]	adequate
-0.5280674	[2901.5955]	normal
-1.113001	[872.17]	light
-1.7917595	[1136.5741]	positive
-1.0498221	[1945.4312]	ordinary
-2.3671236	[1004.4622]	small
-0.36000273	[2629.4116]	fundamental
0.6931472	[532.3987]	good
0.2876821	[3365.1118]	unexpected
0.47000363	[1450.6598]	sizable
2.220446e-16	[1846.3025]	important
0.29673192	[453.78598]	severe
-0.64185387	[3655.6755]	stable
-0.78845733	[1389.2057]	appropriate
0.6931472	[586.7473]	big
0.4567584	[3103.2144]	competitive
-0.6061358	[975.93463]	usual
0.7576857	[66.52351]	generous
-1.4198171	[2498.1619]	conservative
0.19574457	[2436.528]	steep
-0.26236427	[1986.69]	favorable
0.6241543	[1466.3712]	liberal
-0.22314355	[1116.2289]	positive
-0.52324814	[1242.893]	relative
-0.50310355	[481.97586]	relative
-0.22825865	[2173.7803]	legitimate
0.9272198	[807.4698]	unusual
0.59915966	[2901.8264]	surprising
-1.263692	[3497.4167]	light
0.6931472	[1638.2009]	unusual
0.4495251	[383.68152]	solid
-0.26236427	[664.9495]	conventional
-0.9490805	[723.9024]	appropriate
1.0428209	[1347.5002]	unusual
0.42227224	[2623.7925]	high
-0.91629076	[2670.6775]	familiar
-0.72285235	[3391.3364]	familiar
0.52324814	[1822.5042]	striking
-2.6741486	[3403.8525]	modest
0.6523252	[1373.4092]	comfortable
0.32892504	[167.05951]	intense
-0.5007753	[3061.3403]	broad
-0.080042705	[3199.211]	prominent
0.32850406	[3661.0093]	nice
2.220446e-16	[3633.6443]	tight
0.14107859	[247.07645]	healthy
0.791993	[586.96277]	extensive
0.6751287	[1139.8774]	striking
-0.91629076	[1709.9127]	positive
-3.637586	[2543.2266]	disappointing
-0.081493035	[2344.5347]	regular
0.27969572	[465.44147]	clear
0.074107975	[2236.3225]	generous
0.93062055	[1432.441]	extraordinary
0.28223246	[2808.6633]	aggressive
0.89674616	[2650.3728]	outstanding
-1.011601	[128.82458]	tight
0.070530154	[3732.663]	nice
-1.2809339	[1926.2009]	competitive
-1.3862944	[3521.9458]	relative
0.1943265	[3709.599]	impressive
0.51082563	[3324.4812]	substantial
0.14842	[3122.7236]	liberal
0.2135741	[577.33154]	liberal
-2.7515354	[1764.5641]	usual
-2.0037298	[1416.9382]	tiny
0.6931472	[2856.357]	high
